Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin,Condition
Chevrolet Chevelle Malibu,18.0,8,307.0,130.0,3504.0,12.0,70,US,Used
Buick Skylark 320,15.0,8,350.0,165.0,3693.0,11.5,70,US,Used
Plymouth Satellite,18.0,8,318.0,150.0,3436.0,11.0,70,US,Used
AMC Rebel SST,16.0,8,304.0,150.0,3433.0,12.0,70,US,Used
Ford Torino,17.0,8,302.0,140.0,3449.0,10.5,70,US,Used
Ford Galaxie 500,15.0,8,429.0,198.0,4341.0,10.0,70,US,Used
Chevrolet Impala,14.0,8,454.0,220.0,4354.0,9.0,70,US,Used
Plymouth Fury iii,14.0,8,440.0,215.0,4312.0,8.5,70,US,Used
Pontiac Catalina,14.0,8,455.0,225.0,4425.0,10.0,70,US,Used
AMC Ambassador DPL,15.0,8,390.0,190.0,3850.0,8.5,70,US,Used
Citroen DS-21 Pallas,0.0,4,133.0,115.0,3090.0,17.5,70,Europe,Used
Chevrolet Chevelle Concours (sw),0.0,8,350.0,165.0,4142.0,11.5,70,US,Used
Ford Torino (sw),0.0,8,351.0,153.0,4034.0,11.0,70,US,Used
Plymouth Satellite (sw),0.0,8,383.0,175.0,4166.0,10.5,70,US,Used
AMC Rebel SST (sw),0.0,8,360.0,175.0,3850.0,11.0,70,US,Used
Dodge Challenger SE,15.0,8,383.0,170.0,3563.0,10.0,70,US,Used
Plymouth 'Cuda 340,14.0,8,340.0,160.0,3609.0,8.0,70,US,Used
Ford Mustang Boss 302,0.0,8,302.0,140.0,3353.0,8.0,70,US,Used
Chevrolet Monte Carlo,15.0,8,400.0,150.0,3761.0,9.5,70,US,Used
Buick Estate Wagon (sw),14.0,8,455.0,225.0,3086.0,10.0,70,US,Used
Toyota Corolla Mark ii,24.0,4,113.0,95.0,2372.0,15.0,70,Japan,Used
Plymouth Duster,22.0,6,198.0,95.0,2833.0,15.5,70,US,Used
AMC Hornet,18.0,6,199.0,97.0,2774.0,15.5,70,US,Used
Ford Maverick,21.0,6,200.0,85.0,2587.0,16.0,70,US,Used
Datsun PL510,27.0,4,97.0,88.0,2130.0,14.5,70,Japan,Used
Volkswagen 1131 Deluxe Sedan,26.0,4,97.0,46.0,1835.0,20.5,70,Europe,Used
Peugeot 504,25.0,4,110.0,87.0,2672.0,17.5,70,Europe,Used
Audi 100 LS,24.0,4,107.0,90.0,2430.0,14.5,70,Europe,Used
Saab 99e,25.0,4,104.0,95.0,2375.0,17.5,70,Europe,Used
BMW 2002,26.0,4,121.0,113.0,2234.0,12.5,70,Europe,Used
AMC Gremlin,21.0,6,199.0,90.0,2648.0,15.0,70,US,Used
Ford F250,10.0,8,360.0,215.0,4615.0,14.0,70,US,Used
Chevy C20,10.0,8,307.0,200.0,4376.0,15.0,70,US,Used
Dodge D200,11.0,8,318.0,210.0,4382.0,13.5,70,US,Used
Hi 1200D,9.0,8,304.0,193.0,4732.0,18.5,70,US,Used
Datsun PL510,27.0,4,97.0,88.0,2130.0,14.5,71,Japan,Used
Chevrolet Vega 2300,28.0,4,140.0,90.0,2264.0,15.5,71,US,Used
Toyota Corolla,25.0,4,113.0,95.0,2228.0,14.0,71,Japan,Used
Ford Pinto,25.0,4,98.0,0.0,2046.0,19.0,71,US,Used
Volkswagen Super Beetle 117,0.0,4,97.0,48.0,1978.0,20.0,71,Europe,Used
AMC Gremlin,19.0,6,232.0,100.0,2634.0,13.0,71,US,Used
Plymouth Satellite Custom,16.0,6,225.0,105.0,3439.0,15.5,71,US,Used
Chevrolet Chevelle Malibu,17.0,6,250.0,100.0,3329.0,15.5,71,US,Used
Ford Torino 500,19.0,6,250.0,88.0,3302.0,15.5,71,US,Used
AMC Matador,18.0,6,232.0,100.0,3288.0,15.5,71,US,Used
Chevrolet Impala,14.0,8,350.0,165.0,4209.0,12.0,71,US,Used
Pontiac Catalina Brougham,14.0,8,400.0,175.0,4464.0,11.5,71,US,Used
Ford Galaxie 500,14.0,8,351.0,153.0,4154.0,13.5,71,US,Used
